Company,Average Score,Strong Buy,Buy,Hold,Sell,Strong Sell,Total Ratings
EQIX,1.88,7,14,4,0,0,25
EQR,2.96,2,2,17,3,1,25
ES,2.29,5,1,7,1,0,14
ESS,2.73,2,6,16,1,1,26
ETFC,2.13,2,9,4,0,0,15
ETN,2.67,3,4,15,2,0,24
ETR,2.76,3,0,13,0,1,17
EW,2.0,7,9,4,0,1,21
EXC,1.88,6,8,2,1,0,17
EXPD,3.07,1,1,10,2,1,15
EXPE,2.03,6,18,7,0,0,31
EXR,2.69,2,2,11,1,0,16
F,2.92,0,4,18,2,0,24
FANG,1.77,9,19,2,0,0,30
FAST,2.17,6,3,9,0,0,18
FB,1.75,17,24,1,1,1,44
FBHS,2.27,5,6,11,0,0,22
FCX,2.78,2,5,12,4,0,23
FDX,1.96,8,13,7,0,0,28
FE,2.59,1,5,11,0,0,17
FFIV,2.82,2,2,16,2,0,22
FIS,1.78,9,10,4,0,0,23
FISV,2.43,6,1,16,0,0,23
FITB,3.0,1,2,22,2,1,28
FLIR,2.2,2,4,4,0,0,10
FLS,2.72,2,2,13,1,0,18
FLT,1.67,6,8,1,0,0,15
FMC,2.24,3,10,8,0,0,21
FOX,2.0,1,1,1,0,0,3
FOXA,2.27,6,8,11,1,0,26
FRC,2.45,3,6,13,0,0,22
FRT,2.35,3,6,7,1,0,17
FTI,2.44,4,16,10,3,1,34
FTNT,2.17,6,15,7,2,0,30
FTV,2.5,1,7,10,0,0,18
GD,2.0,8,7,6,1,0,22
GE,2.59,5,2,6,3,1,17
GILD,2.46,2,11,15,0,0,28
GIS,3.1,1,1,15,3,1,21
GLW,2.56,3,3,8,2,0,16
GM,2.62,2,7,13,2,0,24
GOOG,1.6,2,3,0,0,0,5
GOOGL,1.81,13,25,5,0,0,43
GPC,2.92,1,1,8,2,0,12
GPN,1.94,11,15,7,1,0,34
GPS,2.81,3,2,19,3,0,27
GRMN,3.07,0,2,10,3,0,15
GS,2.59,3,7,15,2,0,27
GWW,3.12,1,1,16,6,0,24
HAL,1.84,11,23,3,1,0,38
HAS,2.21,4,3,7,0,0,14
HBAN,2.15,7,8,11,0,0,26
HBI,2.33,3,4,8,0,0,15
HCA,2.0,6,10,6,0,0,22
HD,1.91,12,12,9,0,0,33
HES,2.43,4,5,11,1,0,21
HFC,2.76,2,3,9,3,0,17
HIG,2.56,1,6,11,0,0,18
HII,2.75,1,3,7,0,1,12
HLT,2.04,7,12,6,1,0,26
HOLX,1.89,7,7,5,0,0,19
HON,1.85,7,9,4,0,0,20
HPE,2.68,3,4,16,2,0,25
HPQ,2.06,5,7,6,0,0,18
HRB,3.0,1,0,7,0,1,9
HRL,2.82,1,1,8,1,0,11
HSIC,2.12,5,4,7,0,0,16
HST,2.62,4,3,11,3,0,21
HSY,2.68,3,2,12,2,0,19
HUM,2.0,7,5,7,0,0,19
IBM,2.68,4,3,15,3,0,25
ICE,2.0,3,8,3,0,0,14
IDXX,2.1,4,2,3,1,0,10
IEX,2.69,2,0,11,0,0,13
IFF,2.62,2,3,10,1,0,16
ILMN,2.11,6,5,6,1,0,18
INCY,1.95,5,12,4,0,0,21
INFO,2.47,3,5,10,1,0,19
INTC,2.49,5,18,13,3,2,41
INTU,2.41,6,3,11,2,0,22
IP,2.22,5,5,7,1,0,18
IPG,2.12,5,5,5,1,0,16
IPGP,2.0,3,4,3,0,0,10
IQV,2.24,4,5,8,0,0,17
IR,2.43,5,2,14,0,0,21
IRM,2.5,1,2,2,1,0,6
ISRG,2.06,6,5,5,1,0,17
IT,2.08,3,5,4,0,0,12
ITW,2.33,4,4,10,0,0,18
IVZ,2.0,5,6,5,0,0,16
JBHT,2.09,7,6,9,0,0,22
JCI,2.37,3,6,10,0,0,19
JKHY,3.0,0,1,6,1,0,8
JNJ,2.48,4,8,8,2,1,23
JNPR,2.92,0,4,19,2,0,25
JPM,2.5,4,9,13,1,1,28
K,2.95,2,1,15,2,1,21
KEY,2.18,6,12,9,1,0,28
KEYS,1.78,4,3,2,0,0,9
KHC,2.05,4,10,5,0,0,19
KIM,2.48,3,5,13,0,0,21
KLAC,2.5,2,4,7,1,0,14
KMB,2.93,0,2,12,1,0,15
KMI,2.16,5,6,8,0,0,19
KMX,2.59,3,4,8,1,1,17
KO,2.44,4,7,13,1,0,25
KR,2.52,6,3,14,1,1,25
KSS,2.62,5,2,10,4,0,21
KSU,2.37,4,4,11,0,0,19
L,2.5,1,0,3,0,0,4
LB,2.8,2,6,19,2,1,30
LDOS,1.6,4,6,0,0,0,10
LEG,2.25,1,4,3,0,0,8
LEN,2.09,7,6,9,0,0,22
LH,2.16,3,10,6,0,0,19
LKQ,1.57,7,6,1,0,0,14
LLY,2.27,4,9,8,1,0,22
LMT,2.23,7,3,12,0,0,22
LNC,2.46,2,4,6,1,0,13
LNT,2.43,2,0,5,0,0,7
LOW,2.25,8,10,13,0,1,32
LRCX,1.95,4,12,3,0,0,19
LUV,1.79,7,9,3,0,0,19
LVS,2.06,4,8,5,0,0,17
LW,2.0,3,2,3,0,0,8
LYB,2.71,2,5,15,2,0,24
LYV,1.75,5,5,2,0,0,12
MA,1.79,14,20,4,1,0,39
MAA,2.11,5,7,7,0,0,19
MAR,2.32,5,8,11,1,0,25
MAS,2.08,6,11,8,0,0,25
MCD,2.06,8,15,10,0,0,33
MCHP,1.94,6,6,5,0,0,17
MCK,2.71,1,3,9,1,0,14
MCO,2.62,2,1,10,0,0,13
MDLZ,2.0,4,13,4,0,0,21
MDT,2.35,4,7,12,0,0,23
MET,2.38,3,6,6,0,1,16
MGM,2.0,4,9,4,0,0,17
MHK,1.91,7,10,5,0,0,22
MKC,2.79,1,2,10,1,0,14
MKTX,2.4,0,3,2,0,0,5
MLM,1.86,6,4,4,0,0,14
MMC,2.21,4,7,8,0,0,19
MMM,2.6,4,1,7,3,0,15
MNST,2.0,4,10,4,0,0,18
MO,2.07,5,3,6,0,0,14
MOS,2.84,2,2,12,3,0,19
MPC,1.89,7,7,5,0,0,19
MRK,2.29,4,7,10,0,0,21
MRO,2.48,4,8,13,2,0,27
MS,2.33,3,14,9,0,1,27
MSCI,2.5,1,3,6,0,0,10
MSFT,1.85,14,13,6,0,1,34
MSI,2.07,6,4,4,0,1,15
MTB,3.0,1,3,14,3,1,22
MTD,2.42,3,1,8,0,0,12
MU,1.84,8,20,3,0,0,31
MXIM,2.5,3,8,14,1,0,26
MYL,2.15,4,9,7,0,0,20
NBL,2.19,5,15,11,0,0,31
NCLH,1.91,10,4,8,0,0,22
NDAQ,2.62,0,6,6,1,0,13
NEE,1.8,5,8,2,0,0,15
NEM,2.28,2,9,7,0,0,18
NFLX,2.2,11,14,14,1,1,41
NI,2.29,4,2,8,0,0,14
NKE,2.32,7,12,17,1,0,37
NLSN,2.32,4,6,8,1,0,19
NOC,2.26,4,6,9,0,0,19
NOV,2.85,1,7,22,4,0,34
NOW,1.74,13,17,4,0,0,34
NRG,1.67,4,4,1,0,0,9
NSC,2.63,4,4,17,2,0,27
NTAP,2.48,3,11,13,2,0,29
NTRS,2.58,3,3,12,1,0,19
NUE,2.14,4,4,6,0,0,14
NVDA,2.34,7,14,15,1,1,38
NVR,2.5,2,0,6,0,0,8
NWL,2.19,3,7,6,0,0,16
NWSA,2.55,1,4,5,1,0,11
O,2.84,3,1,12,2,1,19
ODFL,2.67,1,4,9,1,0,15
OKE,2.62,2,2,12,0,0,16
OMC,2.88,1,3,9,3,0,16
ORCL,2.06,10,16,9,0,1,36
ORLY,1.96,11,5,10,0,0,26
OXY,2.67,4,3,15,1,1,24
PAYC,1.75,9,2,5,0,0,16
PAYX,3.05,2,0,14,1,2,19
PBCT,3.18,0,0,9,2,0,11
PCAR,2.57,3,5,14,1,0,23
PEG,2.2,3,6,6,0,0,15
PEP,2.36,2,10,10,0,0,22
PFE,2.5,1,11,9,0,1,22
PFG,2.5,2,3,6,1,0,12
PG,2.36,6,4,10,2,0,22
PGR,2.42,5,4,8,1,1,19
PH,2.05,6,7,7,0,0,20
PHM,2.73,1,6,14,0,1,22
PKG,2.5,3,2,11,0,0,16
PKI,2.57,3,2,7,2,0,14
PLD,2.11,4,8,6,0,0,18
PM,2.39,2,7,9,0,0,18
PNC,2.45,4,8,17,0,0,29
PNR,2.94,0,4,10,3,0,17
PNW,2.92,1,0,11,1,0,13
PPG,2.26,4,9,10,0,0,23
PPL,2.67,2,1,12,0,0,15
PRGO,2.61,2,4,11,1,0,18
PRU,2.44,2,5,9,0,0,16
PSA,3.06,1,0,14,3,0,18
PSX,2.68,1,7,9,1,1,19
PVH,1.94,5,8,4,0,0,17
PWR,1.75,6,8,2,0,0,16
PXD,1.85,11,24,5,0,0,40
PYPL,1.95,14,18,12,0,0,44
QCOM,2.43,3,7,13,0,0,23
QRVO,2.67,1,7,15,1,0,24
RCL,1.77,10,7,5,0,0,22
RE,2.9,0,2,7,1,0,10
REG,2.22,5,4,9,0,0,18
REGN,2.27,7,6,12,1,0,26
RF,2.93,1,4,19,2,1,27
RHI,2.83,1,3,6,1,1,12
RJF,2.29,2,1,4,0,0,7
RL,3.0,0,2,17,2,0,21
RMD,3.0,1,3,2,3,1,10
ROK,3.0,0,3,15,3,0,21
ROL,2.75,0,1,3,0,0,4
ROP,1.85,5,5,3,0,0,13
ROST,2.08,6,11,8,0,0,25
RSG,2.5,2,2,8,0,0,12
SBAC,2.15,3,11,6,0,0,20
SBUX,1.97,10,14,9,0,0,33
SCHW,2.0,5,9,5,0,0,19
SEE,2.33,2,6,7,0,0,15
SHW,1.96,8,8,7,0,0,23
SIVB,1.89,6,9,4,0,0,19
SJM,2.83,2,3,10,2,1,18
SLB,2.11,7,19,11,0,0,37
SLG,2.42,2,7,10,0,0,19
SNA,1.67,5,2,2,0,0,9
SNPS,1.78,4,3,2,0,0,9
SO,3.0,1,4,8,2,2,17
SPG,1.91,7,10,5,0,0,22
SPGI,2.13,2,9,4,0,0,15
SRE,1.82,5,3,3,0,0,11
STE,1.88,3,3,2,0,0,8
STT,2.55,2,5,13,0,0,20
STX,3.11,1,2,19,3,2,27
STZ,2.05,5,8,6,0,0,19
SWK,2.17,4,11,8,0,0,23
SWKS,2.0,7,15,5,1,0,28
SYF,2.05,5,10,6,0,0,21
SYK,2.07,11,6,8,1,1,27
SYY,2.47,3,4,9,1,0,17
T,2.57,6,3,20,0,1,30
TAP,2.38,3,4,4,2,0,13
TDG,2.11,5,7,5,1,0,18
TDY,2.67,0,1,2,0,0,3
TEL,2.0,5,4,3,1,0,13
TFX,1.75,5,5,2,0,0,12
TGT,2.96,2,2,18,3,1,26
TIF,2.27,6,7,13,0,0,26
TJX,1.81,9,14,4,0,0,27
TMO,1.53,8,6,1,0,0,15
TMUS,2.03,7,16,6,1,0,30
TPR,2.2,8,13,13,1,0,35
TROW,2.81,2,2,9,3,0,16
TRV,2.73,4,2,13,2,1,22
TSCO,2.54,5,2,19,0,0,26
TSN,2.06,4,7,5,0,0,16
TTWO,1.95,6,10,3,1,0,20
TWTR,3.17,2,2,21,10,1,36
TXN,2.41,6,8,17,1,0,32
TXT,2.27,4,5,4,2,0,15
TYL,2.08,2,7,3,0,0,12
UA,3.33,0,0,4,2,0,6
UAA,3.24,2,2,19,6,4,33
UAL,2.61,2,4,11,1,0,18
UDR,2.86,1,4,15,1,1,22
UHS,2.12,3,8,5,0,0,16
ULTA,2.36,4,8,13,0,0,25
UNH,1.5,11,11,0,0,0,22
UNM,2.92,1,2,7,3,0,13
UNP,2.45,5,7,16,1,0,29
UPS,2.65,4,2,19,1,0,26
URI,2.33,6,2,8,2,0,18
USB,2.79,2,4,21,2,0,29
V,1.77,13,22,4,0,0,39
VAR,2.5,2,0,6,0,0,8
VFC,2.48,4,5,13,1,0,23
VLO,2.43,3,6,12,0,0,21
VMC,1.73,7,5,3,0,0,15
VNO,2.17,3,4,5,0,0,12
VRSK,2.4,4,5,10,1,0,20
VRSN,3.25,0,0,3,1,0,4
VRTX,1.81,10,12,5,0,0,27
VTR,3.1,0,2,14,4,0,20
VZ,2.69,2,6,24,0,0,32
WAB,2.23,4,2,7,0,0,13
WAT,2.4,5,0,9,1,0,15
WBA,2.17,5,10,9,0,0,24
WDC,2.0,7,15,7,0,0,29
WEC,2.45,3,1,6,1,0,11
WFC,2.61,4,8,15,4,0,31
WHR,2.67,0,4,8,0,0,12
WLTW,2.14,6,8,5,2,0,21
WM,2.33,3,3,5,1,0,12
WMB,1.95,6,8,5,0,0,19
WMT,2.38,8,7,15,1,1,32
WRB,3.18,0,0,9,2,0,11
WRK,2.06,5,6,6,0,0,17
WST,2.14,3,1,2,1,0,7
WU,3.05,4,0,10,7,1,22
WY,2.29,4,2,8,0,0,14
WYNN,2.41,2,6,9,0,0,17
XEL,2.46,3,1,9,0,0,13
XLNX,2.72,2,5,16,2,0,25
XOM,3.0,2,5,11,5,2,25
XRAY,2.08,5,3,4,1,0,13
XRX,2.11,2,4,3,0,0,9
XYL,2.19,3,7,6,0,0,16
YUM,2.32,5,7,13,0,0,25
ZBH,2.07,9,9,9,1,0,28
ZBRA,2.09,4,2,5,0,0,11
ZION,2.35,6,7,12,0,1,26
ZTS,2.0,7,7,7,0,0,21
